Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Lambda,Accuracy,Precision,Sensitivity,F-measure,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,50,20,0.75,0.644527987,0.75,0.691137566,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,100,20,0.75,0.689814815,0.75,0.717171717,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,100,20,0.75,0.648589065,0.75,0.690789474,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,100,20,0.694444444,0.687289562,0.694444444,0.66001019,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,100,20,0.722222222,0.625,0.722222222,0.661286286,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,200,20,0.722222222,0.664862915,0.722222222,0.689814815,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,200,20,0.75,0.648589065,0.75,0.690789474,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,200,20,0.777777778,0.833333333,0.777777778,0.751155567,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,200,20,0.722222222,0.625,0.722222222,0.661286286,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,500,20,0.777777778,0.676548397,0.777777778,0.721801347,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,500,20,0.722222222,0.617724868,0.722222222,0.661549708,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,500,20,0.666666667,0.676691729,0.666666667,0.647222222,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,500,20,0.75,0.648589065,0.75,0.690789474,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Naive Bayes,49152,1000,20,0.777777778,0.671596922,0.777777778,0.719537815,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,SVM,49152,1000,20,0.75,0.644527987,0.75,0.691137566,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,kNN,49152,1000,20,0.75,0.773913952,0.75,0.741358025,,,
Embedded approach,df_normalized_GLA_BRA_180,Ridge regression,Random Forest,49152,1000,20,0.75,0.644527987,0.75,0.691137566,,,
