Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Iterations,Initialized particles,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,501,9,50,50,0.6944444444444444,0.7033146591970121,0.6944444444444444,0.6920182214299861
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,501,9,50,50,0.75,0.7777777777777778,0.75,0.7238066943949296
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,1001,24,50,50,0.75,0.7543209876543211,0.75,0.7496527241858311
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,1001,24,50,50,0.4444444444444444,0.19753086419753085,0.4444444444444444,0.2735042735042735
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,1001,24,50,50,0.6944444444444444,0.7489935587761676,0.6944444444444444,0.6603373478373479
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,1001,24,50,50,0.6944444444444444,0.6150793650793651,0.6944444444444444,0.6394997939115586
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,101,60,50,50,0.6944444444444444,0.5933583959899749,0.6944444444444444,0.637962962962963
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,101,60,50,50,0.6944444444444444,0.6101364522417154,0.6944444444444444,0.6486291486291487
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,101,60,50,50,0.7222222222222222,0.6435185185185186,0.7222222222222222,0.680035650623886
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,101,60,50,50,0.75,0.6555080721747388,0.75,0.6981386757601592
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,501,179,50,50,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,501,179,50,50,0.7222222222222222,0.6177248677248677,0.7222222222222222,0.6615497076023392
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,179,50,50,0.8055555555555556,0.8118386243386243,0.8055555555555556,0.7965686274509803
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,501,179,50,50,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,1001,517,50,50,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,1001,517,50,50,0.7222222222222222,0.6393298059964727,0.7222222222222222,0.67619825708061
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,1001,517,50,50,0.8055555555555556,0.8204539125591758,0.8055555555555556,0.7948957360722066
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,1001,517,50,50,0.7777777777777778,0.6712962962962963,0.7777777777777778,0.718855218855219
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,101,57,50,50,0.7222222222222222,0.6177248677248677,0.7222222222222222,0.6615497076023392
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,101,57,50,50,0.75,0.6445279866332498,0.75,0.691137566137566
